Wavelengths(nm), Throughput
603.7457314089863,0.324190933838096
604.574456454369,0.34670463762278075
605.4031814997518,0.3682012811802737
606.2319065451345,0.39130545486389545
607.0606315905171,0.41246205569216965
607.8893566358998,0.4337213658130959
608.7180816812826,0.4545697175237841
609.5468067266653,0.47528530190787177
610.375531772048,0.4935955480596321
611.2042568174307,0.5147033974394701
612.0329818628135,0.5356022368896544
612.8617069081962,0.5507956672859063
613.6904319535789,0.5660344403765322
614.5191569989616,0.5830748485731428
615.3478820443444,0.5975248257952722
616.1766070897271,0.6120733091231744
617.0053321351098,0.6258117243478869
617.8340571804926,0.6368497280307484
618.6627822258753,0.6482416185711672
619.491507271258,0.661394946855613
620.3202323166407,0.6721071316953888
621.1489573620235,0.6813023438832515
621.9776824074062,0.6912306680618372
622.8064074527889,0.699334681479425
